"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-DIV0-02: divide(10, 2, 0) → 400 (null an späterer Position)
","14","TC_DIV0_02_Divide_null_an_spaeterer_Position","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.3 Division durch null","DivisionByZeroTests","TC_DIV0_02_Divide_null_an_spaeterer_Position"
"TC-FLT-05: multiply(1e308, 1e308) → 400 (Überlauf)
","12","TC_FLT_05_Multiply_Ueberlauf","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_05_Multiply_Ueberlauf"
"TC-VAL-03: ohne Feld numbers → 400
","4","TC_VAL_03_Ohne_Feld_numbers","","Tue Sep 15 10:47:53 UTC 2026","passed","Tue Sep 15 10:47:53 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_03_Ohne_Feld_numbers"
"","11","Operation_liefert_korrektes_Ergebnis(TC-MUL-01 multiply 3*4=12)","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","10","Operation_liefert_korrektes_Ergebnis(TC-SUB-02 subtract 10-4-3=3)","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","5","Operation_liefert_korrektes_Ergebnis(TC-DIV-04 divide 0/5=0)","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-FLT-02: add(1e308, 1e308) → 400 (Überlauf)
","26","TC_FLT_02_Add_Ueberlauf","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_02_Add_Ueberlauf"
"TC-VAL-02: mit leerem Array → 400
","4","TC_VAL_02_Leeres_Array","","Tue Sep 15 10:47:53 UTC 2026","passed","Tue Sep 15 10:47:53 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_02_Leeres_Array"
"TC-CON-01: Response enthält genau operation, numbers, result
","2062","TC_CON_01_Response_Felder","","Tue Sep 15 10:47:50 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.5 API-Vertrag","ContractTests","TC_CON_01_Response_Felder"
"","14","Operation_liefert_korrektes_Ergebnis(TC-ADD-02 add 1+2+3+4=10)","","Tue Sep 15 10:47:52 UTC 2026","passed","Tue Sep 15 10:47:52 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
