"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-VAL-01: mit nur einer Zahl → 400
","13","TC_VAL_01_Nur_eine_Zahl","","Fri Aug 14 12:37:22 UTC 2026","passed","Fri Aug 14 12:37:22 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_01_Nur_eine_Zahl"
"","837","Operation_liefert_korrektes_Ergebnis(TC-ADD-01 add 1+2=3)","","Fri Aug 14 12:37:20 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-VAL-06: mit syntaktisch ungültigem JSON → 400
","6","TC_VAL_06_Ungueltiges_JSON","","Fri Aug 14 12:37:23 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_06_Ungueltiges_JSON"
"TC-VAL-07: mit numbers = null → 400
","5","TC_VAL_07_Numbers_null","","Fri Aug 14 12:37:23 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_07_Numbers_null"
"","6","Operation_liefert_korrektes_Ergebnis(TC-DIV-03 divide -9/3=-3)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-VAL-08: mit Content-Type text/plain → 415
","5","TC_VAL_08_ContentType_text_plain","","Fri Aug 14 12:37:23 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_08_ContentType_text_plain"
"TC-CON-03: GET auf POST-Endpunkt → 405 Method Not Allowed
","17","TC_CON_03_Get_auf_Post_Endpunkt","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.5 API-Vertrag","ContractTests","TC_CON_03_Get_auf_Post_Endpunkt"
"","7","Operation_liefert_korrektes_Ergebnis(TC-DIV-01 divide 10/4=2.5)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-CON-01: Response enthält genau operation, numbers, result
","838","TC_CON_01_Response_Felder","","Fri Aug 14 12:37:20 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.5 API-Vertrag","ContractTests","TC_CON_01_Response_Felder"
"TC-DIV0-01: divide(10, 0) → 400 mit ProblemDetails
","832","TC_DIV0_01_Divide_durch_null","","Fri Aug 14 12:37:20 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.3 Division durch null","DivisionByZeroTests","TC_DIV0_01_Divide_durch_null"
"","8","Operation_liefert_korrektes_Ergebnis(TC-MUL-02 multiply 2*3*4=24)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-CON-04: Unbekannte Operation /modulo → 404 Not Found
","18","TC_CON_04_Unbekannte_Operation","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.5 API-Vertrag","ContractTests","TC_CON_04_Unbekannte_Operation"
"TC-VAL-05: mit ungültigem Typ → 400
","12","TC_VAL_05_Ungueltiger_Typ","","Fri Aug 14 12:37:23 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_05_Ungueltiger_Typ"
"TC-CON-05: Unbekannte Zusatzfelder im Body werden toleriert → 200
","16","TC_CON_05_Zusatzfelder_toleriert","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.5 API-Vertrag","ContractTests","TC_CON_05_Zusatzfelder_toleriert"
"TC-FLT-03: divide(1e308, 1e-308) → 400 (Überlauf)
","13","TC_FLT_03_Divide_Ueberlauf","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_03_Divide_Ueberlauf"
"","14","Operation_liefert_korrektes_Ergebnis(TC-SUB-02 subtract 10-4-3=3)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-CON-02: Content-Type ist application/json
","22","TC_CON_02_ContentType","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.5 API-Vertrag","ContractTests","TC_CON_02_ContentType"
"","11","Operation_liefert_korrektes_Ergebnis(TC-MUL-01 multiply 3*4=12)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","6","Operation_liefert_korrektes_Ergebnis(TC-DIV-04 divide 0/5=0)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:22 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-VAL-04: mit leerem Body → 400
","7","TC_VAL_04_Leerer_Body","","Fri Aug 14 12:37:23 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_04_Leerer_Body"
"TC-FLT-04: divide(1, 3) ≈ 0.3333… (Toleranzvergleich)
","14","TC_FLT_04_Divide_1_durch_3","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_04_Divide_1_durch_3"
