"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-FLT-06: subtract(-1e308, 1e308) → 400 (Überlauf ins negative Infinity)
","10","TC_FLT_06_Subtract_Ueberlauf","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_06_Subtract_Ueberlauf"
"TC-VAL-09: mit mehr als 1000 Zahlen → 400 (Obergrenze)
","6","TC_VAL_09_Zu_viele_Zahlen","","Fri Aug 14 12:37:23 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_09_Zu_viele_Zahlen"
"TC-VAL-03: ohne Feld numbers → 400
","10","TC_VAL_03_Ohne_Feld_numbers","","Fri Aug 14 12:37:22 UTC 2026","passed","Fri Aug 14 12:37:23 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_03_Ohne_Feld_numbers"
"","9","Operation_liefert_korrektes_Ergebnis(TC-MUL-03 multiply 5*0=0)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","9","Operation_liefert_korrektes_Ergebnis(TC-SUB-03 subtract -1--1=0)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-FLT-02: add(1e308, 1e308) → 400 (Überlauf)
","20","TC_FLT_02_Add_Ueberlauf","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_02_Add_Ueberlauf"
"TC-VAL-02: mit leerem Array → 400
","7","TC_VAL_02_Leeres_Array","","Fri Aug 14 12:37:22 UTC 2026","passed","Fri Aug 14 12:37:22 UTC 2026","","4.4 Eingabevalidierung","ValidationTests","TC_VAL_02_Leeres_Array"
"TC-FLT-05: multiply(1e308, 1e308) → 400 (Überlauf)
","19","TC_FLT_05_Multiply_Ueberlauf","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_05_Multiply_Ueberlauf"
"","22","Operation_liefert_korrektes_Ergebnis(TC-ADD-03 add -5+2.5=-2.5)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"TC-DIV0-02: divide(10, 2, 0) → 400 (null an späterer Position)
","20","TC_DIV0_02_Divide_null_an_spaeterer_Position","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.3 Division durch null","DivisionByZeroTests","TC_DIV0_02_Divide_null_an_spaeterer_Position"
"TC-FLT-01: add(0.1, 0.2) ≈ 0.3 (Toleranzvergleich)
","838","TC_FLT_01_Add_0_1_und_0_2","","Fri Aug 14 12:37:20 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.2 Gleitkomma-Randfälle","FloatingPointTests","TC_FLT_01_Add_0_1_und_0_2"
"","19","Operation_liefert_korrektes_Ergebnis(TC-ADD-02 add 1+2+3+4=10)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","21","Operation_liefert_korrektes_Ergebnis(TC-SUB-01 subtract 10-4=6)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","6","Operation_liefert_korrektes_Ergebnis(TC-MUL-04 multiply -2*2.5=-5)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
"","7","Operation_liefert_korrektes_Ergebnis(TC-DIV-02 divide 100/5/2=10)","","Fri Aug 14 12:37:21 UTC 2026","passed","Fri Aug 14 12:37:21 UTC 2026","","4.1 Happy Path","HappyPathTests","Operation_liefert_korrektes_Ergebnis"
